"CAL-120",906826,"breast","breast"
"DMS-114",687983,"lung_SCLC","lung_small_cell_carcinoma"
"CAL-51",910927,"breast","breast"
"H2869",1240138,"lung","mesothelioma"
"H290",1240139,"lung","mesothelioma"
"A2058",906792,"skin","melanoma"
"CESS",910688,"leukemia","acute_myeloid_leukaemia"
"H2803",1240135,"lung","mesothelioma"
"H2722",1290812,"lung","mesothelioma"
"HCC1419",907045,"breast","breast"
"ETK-1",906861,"digestive_system","biliary_tract"
"C32",906830,"skin","melanoma"
"SW1783",909750,"nervous_system","glioma"
"H2810",1240137,"lung","mesothelioma"
"DSH1",753552,"urogenital_system","Bladder"
"HT-1197",907065,"urogenital_system","Bladder"
"MDA-MB-157",925338,"breast","breast"
"H2373",1290809,"lung","mesothelioma"
"ES1",949158,"bone","ewings_sarcoma"
"HDLM-2",924110,"lymphoma","Hodgkin_lymphoma"
"H2731",1240134,"lung","mesothelioma"
"IST-MEL1",907172,"skin","melanoma"
"5637",687452,"urogenital_system","Bladder"
"786-0",905947,"kidney","kidney"
"HeLa",1298134,"urogenital_system","cervix"
"HMV-II",907058,"skin","melanoma"
"H2818",1290814,"lung","mesothelioma"
"M14",905975,"skin","melanoma"
"HT-29",905939,"large_intestine","large_intestine"
"AU565",910704,"breast","breast"
"NCI-H441",908460,"lung_NSCLC","lung_NSCLC_adenocarcinoma"
"SW1088",909745,"nervous_system","glioma"
"IST-MES1",907173,"lung","mesothelioma"
"HCT-116",905936,"large_intestine","large_intestine"
"GA-10",1303896,"lymphoma","Burkitt_lymphoma"
"KYSE-450",907320,"aero_dig_tract","oesophagus"
"NCI-H2052",688058,"lung","mesothelioma"
"LOXIMVI",905974,"skin","melanoma"
"HOS",907060,"bone","osteosarcoma"
"NCI-H28",908470,"lung","mesothelioma"
"NCI-H358",908465,"lung_NSCLC","lung_NSCLC_adenocarcinoma"
"Becker",906746,"nervous_system","glioma"
"RS4-11",909703,"leukemia","leukemia"
"NCI-H727",724855,"lung_NSCLC","lung_NSCLC_carcinoid"
"NCI-H1299",724831,"lung_NSCLC","lung_NSCLC_large cell"
"COLO-800",906813,"skin","melanoma"
"BT-474",946359,"breast","breast"
"Saos-2",909707,"bone","osteosarcoma"
"NCI-H838",910399,"lung_NSCLC","lung_NSCLC_adenocarcinoma"
"NCI-H2228",687816,"lung_NSCLC","lung_NSCLC_adenocarcinoma"
"LS-411N",907794,"large_intestine","large_intestine"
"RKO",909698,"large_intestine","large_intestine"
"RPMI-7951",910903,"skin","melanoma"
"CAL-54",910952,"kidney","kidney"
"WM-115",909784,"skin","melanoma"
"NCI-H2009",724873,"lung_NSCLC","lung_NSCLC_adenocarcinoma"
"ES3",684055,"bone","ewings_sarcoma"
"D-283MED",906834,"nervous_system","medulloblastoma"
"639-V",906798,"urogenital_system","Bladder"
"OE19",910079,"aero_dig_tract","oesophagus"
"NCI-H2452",908462,"lung","mesothelioma"
"EFM-192A",1290798,"breast","breast"
"UACC-62",905976,"skin","melanoma"
"DU-4475",906844,"breast","breast"
"SISO",1240212,"urogenital_system","cervix"
"JHH-1",1298151,"digestive_system","liver"
"COLO-680N",906817,"aero_dig_tract","oesophagus"
"ESO51",1503367,"aero_dig_tract","oesophagus"
"CAL-33",753541,"aero_dig_tract","head and neck"
"CAL-29",1290730,"urogenital_system","Bladder"
"UACC-257",905977,"skin","melanoma"
"PA-1",909255,"urogenital_system","ovary"
"H2591",1240131,"lung","mesothelioma"
"H513",1240141,"lung","mesothelioma"
"H2461",1290810,"lung","mesothelioma"
"KELLY",753618,"neuroblastoma","neuroblastoma"
"NCI-H661",687829,"lung_NSCLC","lung_NSCLC_large cell"
"ES8",949155,"bone","ewings_sarcoma"
"H2795",1290813,"lung","mesothelioma"
"SW1417",909747,"large_intestine","large_intestine"
"H2369",1290808,"lung","mesothelioma"
"647-V",906797,"urogenital_system","Bladder"
"TGBC24TKB",910695,"digestive_system","biliary_tract"
