"Sample Name","COSMIC identifier","Whole Exome Sequencing (WES)","Copy Number Alterations (CNA)","Gene Expression","Methylation","Drug
Response","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2","Cancer Type
(matching TCGA label)","Microsatellite 
instability Status (MSI)","Screen Medium","Growth Properties"
"CAL-120",906826,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"DMS-114",687983,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"CAL-51",910927,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"H2869",1240138,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"H290",1240139,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"A2058",906792,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"CESS",910688,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"H2803",1240135,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"H2722",1290812,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"HCC1419",907045,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"ETK-1",906861,"Y","Y","Y","Y","Y","digestive_system","biliary_tract","","MSS/MSI-L","R","Adherent"
"C32",906830,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"SW1783",909750,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"H2810",1240137,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"DSH1",753552,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","R","Adherent"
"HT-1197",907065,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"MDA-MB-157",925338,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"H2373",1290809,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"ES1",949158,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"HDLM-2",924110,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"H2731",1240134,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"IST-MEL1",907172,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
5637,687452,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","R","Adherent"
"786-0",905947,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"HeLa",1298134,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"HMV-II",907058,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"H2818",1290814,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"M14",905975,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"HT-29",905939,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"AU565",910704,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"NCI-H441",908460,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"SW1088",909745,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"IST-MES1",907173,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","D/F12","Adherent"
"HCT-116",905936,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"GA-10",1303896,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"KYSE-450",907320,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"NCI-H2052",688058,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"LOXIMVI",905974,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Semi-Adherent"
"HOS",907060,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","D/F12","Adherent"
"NCI-H28",908470,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"NCI-H358",908465,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"Becker",906746,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"RS4-11",909703,"Y","Y","Y","Y","Y","leukemia","leukemia","ALL","MSI-H","R","Suspension"
"NCI-H727",724855,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_carcinoid","","MSS/MSI-L","R","Adherent"
"NCI-H1299",724831,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"COLO-800",906813,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"BT-474",946359,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"Saos-2",909707,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","R","Adherent"
"NCI-H838",910399,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H2228",687816,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"LS-411N",907794,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"RKO",909698,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","D/F12","Adherent"
"RPMI-7951",910903,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"CAL-54",910952,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"WM-115",909784,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"NCI-H2009",724873,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"ES3",684055,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"D-283MED",906834,"Y","Y","Y","Y","Y","nervous_system","medulloblastoma","MB","MSS/MSI-L","D/F12","Adherent"
"639-V",906798,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"OE19",910079,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"NCI-H2452",908462,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"EFM-192A",1290798,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"UACC-62",905976,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"DU-4475",906844,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Suspension"
"SISO",1240212,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","R","Adherent"
"JHH-1",1298151,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"COLO-680N",906817,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"ESO51",1503367,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Semi-Adherent"
"CAL-33",753541,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CAL-29",1290730,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"UACC-257",905977,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"PA-1",909255,"Y","Y","Y","Y","Y","urogenital_system","ovary","","MSS/MSI-L","D/F12","Adherent"
"H2591",1240131,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"H513",1240141,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Semi-Adherent"
"H2461",1290810,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"KELLY",753618,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"NCI-H661",687829,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"ES8",949155,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
